START OF TRACE: 19-Sep-2017 12:21:29.767 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
21:36.122   15                28        28    :   :   :   LeakyBucketCounter.HasReachedLimit
21:36.122   15               116         4    :   :   :   Log.Spool
21:36.122   15               112         6    :   :   :   : LogThread.Spool
21:36.122   15                 4         4    :   :   :   :   Thread.RunningThread
21:36.122   15                12        12    :   :   :   :   FunctionGuard.ctor
21:36.122   15                 8         4    :   :   :   :   :   Thread.MakeUnpreemptable
21:36.122   15                 4         4    :   :   :   :   :   : Thread.RunningThread
21:36.122   15                13         4    :   :   :   :   MsgBuffer.operator new
21:36.122   15                 9         5    :   :   :   :   : ObjectPool.DeqBlock
21:36.122   15                 4         4    :   :   :   :   :   Q1Way.Deq
21:36.122   15                18         0    :   :   :   :   StreamRequest.ctor
21:36.122   15                18         0    :   :   :   :   : MsgBuffer.ctor
21:36.122   15                18         0    :   :   :   :   :   Pooled.ctor
21:36.122   15                18         0    :   :   :   :   :   : Object.ctor
21:36.122   15                18        18    :   :   :   :   :   :   Base.ctor
21:36.122   15                44         5    :   :   :   :   Thread.EnqMsg
21:36.122   15                 3         3    :   :   :   :   : Q1Way.Enq
21:36.122   15                 5         5    :   :   :   :   : Q1Way.Count
21:36.122   15                31         5    :   :   :   :   : Thread.Interrupt
21:36.122   15                26        26    :   :   :   :   :   SysThread.Interrupt
21:36.122   15                15        15    :   :   :   :   FunctionGuard.dtor
21:36.122   15                11         5    :   :   :   :   :   Thread.MakePreemptable
21:36.122   15                 6         6    :   :   :   :   :   : Thread.RunningThread
21:36.122   15                 9         4    :   :   : SignalException.dtor
21:36.122   15                 5         5    :   :   :   Exception.dtor
21:36.122   15               884         7    Thread.Start
21:36.122   15                21        21    : SysThread.Start
21:36.122   15                 1         1    :   : Thread.RunningThread
21:36.122   15               856        25    : Thread.Pause (msecs=0)
21:36.122   15                 3         3    :   Thread.RunningThread
21:36.122   15               828         5    :   Thread.EnterBlockingOperation
21:36.122   15                15        15    :   : Thread.RunningThread
21:36.122   15  -lock        799         4    :   : Thread.Unlock
21:36.122   15                33        33    :   :   Thread.LogContextSwitch
21:36.122   15                23        23    :   :   :   SysMutex.Acquire
21:36.122   15                 4         4    :   :   :   SysMutex.Release
21:36.122   15               762       762    :   :   SysMutex.Release
21:36.123   15                 9         5    :   : SysMutex.Acquire
21:36.123   15                 4         4    :   :   Thread.InitialMsecs
21:36.123   15                 0         0    :   :   ThreadAdmin.WarpFactor
21:36.123   15  +lock          5         0    : Thread.Pause
21:36.123   15                 5         4    :   Thread.ExitBlockingOperation
21:36.123   15                 1         1    :   : Thread.ResumeLocked
21:36.123   15                 4         4    : Thread.Pause (completed)
21:36.123   15                10         4    : RecoveryTestThread.Recover
21:36.123   15                 3         3    :   Debug.SwFlagOn
21:36.123   15                 3         3    :   Debug.SwFlagOn
21:36.123   15                 5         5    : Thread.SetSignal
21:36.123   15                 1         1    :   : Thread.RunningThread
21:36.123   15               680         4    : Thread.Pause (msecs=0)
21:36.123   15                 3         3    :   Thread.RunningThread
21:36.123   15               673         6    :   Thread.EnterBlockingOperation
21:36.123   15                 1         1    :   : Thread.RunningThread
21:36.123   15  -lock        656        17    :   : Thread.Unlock
21:36.123   15                32        32    :   :   Thread.LogContextSwitch
21:36.123   15                22        22    :   :   :   SysMutex.Acquire
21:36.123   15                 4         4    :   :   :   SysMutex.Release
21:36.123   15               607       607    :   :   SysMutex.Release
21:36.123   15                10         6    :   : SysMutex.Acquire
21:36.123   15                 4         4    :   :   Thread.InitialMsecs
21:36.123   15                 0         0    :   :   ThreadAdmin.WarpFactor
21:36.123   15  +lock          5         0    : Thread.Pause
21:36.123   15                 5         4    :   Thread.ExitBlockingOperation
21:36.123   15                 1         1    :   : Thread.ResumeLocked
21:36.123   15                 4         4    : Thread.Pause (completed)
21:36.123   15                41         8    : RecoveryTestThread.Enter
21:36.123   15                 3         3    :   :   Thread.RunningThread
21:36.123   15                33         5    :   Thread.Pause (msecs=3000)
21:36.123   15                 4         4    :   : Thread.RunningThread
21:36.123   15                24         5    :   : Thread.EnterBlockingOperation
21:36.123   15                 1         1    :   :   Thread.RunningThread
21:36.123   15  -lock         18         3    :   :   Thread.Unlock
21:36.123   15                15        15    :   :   : Thread.LogContextSwitch
21:36.123   15                 3         3    :   :   :   : SysMutex.Acquire
21:36.123   15                 4         4    :   :   :   : SysMutex.Release
21:36.123   15                 0         0    :   :   : SysMutex.Release
21:39.111   15  +lock         81         1    :   Thread.Pause
21:39.111   15                80        64    :   : Thread.ExitBlockingOperation
21:39.111   15                16        16    :   :   Thread.ResumeLocked
21:39.111   15                 8         8    :   Thread.Pause (completed)
21:39.111   15                31        31    :   Thread.Pause (msecs=3000)
21:39.111   15  -lock          0         0    :   :   Thread.Unlock
END OF TRACE
