START OF TRACE: 19-Sep-2017 12:22:10.994 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
22:22.534   15             31739     31739    :   RecoveryTestThread.LoopForever
22:22.566   15             28965     28965    :   RecoveryTestThread.LoopForever
22:22.595   15             27919     27919    :   RecoveryTestThread.LoopForever
22:22.623   15             27043     27043    :   RecoveryTestThread.LoopForever
22:22.650   15             27218     27218    :   RecoveryTestThread.LoopForever
22:22.677   15             26957     26957    :   RecoveryTestThread.LoopForever
22:22.704   15             26838     26838    :   RecoveryTestThread.LoopForever
22:22.731   15             26971     26971    :   RecoveryTestThread.LoopForever
22:22.758   15             31267     31267    :   RecoveryTestThread.LoopForever
22:22.789   15             27598     27598    :   RecoveryTestThread.LoopForever
22:22.816   15             27311     27311    :   RecoveryTestThread.LoopForever
22:22.844   15             27252     27252    :   RecoveryTestThread.LoopForever
22:22.871   15             26725     26725    :   RecoveryTestThread.LoopForever
22:22.898   15             26937     26937    :   RecoveryTestThread.LoopForever
22:22.925   15             26788     26788    :   RecoveryTestThread.LoopForever
22:22.951   15             26712     26712    :   RecoveryTestThread.LoopForever
22:22.978   15             31745     31745    :   RecoveryTestThread.LoopForever
22:23.010   15             27820     27820    :   RecoveryTestThread.LoopForever
22:23.038   15             32080     32080    :   RecoveryTestThread.LoopForever
22:23.070   15             33705     33705    :   RecoveryTestThread.LoopForever
22:23.104   15             33135     33135    :   RecoveryTestThread.LoopForever
22:23.137   15             33483     33483    :   RecoveryTestThread.LoopForever
22:23.170   15             31574     31574    :   RecoveryTestThread.LoopForever
22:23.202   15             30778     30778    :   RecoveryTestThread.LoopForever
22:23.233   15             28144     28144    :   RecoveryTestThread.LoopForever
22:23.261   15             27233     27233    :   RecoveryTestThread.LoopForever
22:23.288   15             26858     26858    :   RecoveryTestThread.LoopForever
22:23.315   15             27146     27146    :   RecoveryTestThread.LoopForever
22:23.342   15             26953     26953    :   RecoveryTestThread.LoopForever
22:23.369   15             27038     27038    :   RecoveryTestThread.LoopForever
22:23.396   15             29163     29163    :   RecoveryTestThread.LoopForever
22:23.425   15             30443     30443    :   RecoveryTestThread.LoopForever
22:23.455   15             27586     27586    :   RecoveryTestThread.LoopForever
22:23.483   15             27626     27626    :   RecoveryTestThread.LoopForever
22:23.511   15             27283     27283    :   RecoveryTestThread.LoopForever
22:23.538   15             27080     27080    :   RecoveryTestThread.LoopForever
22:23.565   15             27277     27277    :   RecoveryTestThread.LoopForever
22:23.592   15             27276     27276    :   RecoveryTestThread.LoopForever
22:23.620   15             29096     29096    :   RecoveryTestThread.LoopForever
22:23.649   15             29540     29540    :   RecoveryTestThread.LoopForever
22:23.678   15             28196     28196    :   RecoveryTestThread.LoopForever
22:23.706   15             35352     35352    :   RecoveryTestThread.LoopForever
22:23.742   15             35044     35044    :   RecoveryTestThread.LoopForever
22:23.777   15             27190     27190    :   RecoveryTestThread.LoopForever
22:23.804   15             26929     26929    :   RecoveryTestThread.LoopForever
22:23.831   15             28551     28551    :   RecoveryTestThread.LoopForever
22:23.860   15             29038     29038    :   RecoveryTestThread.LoopForever
22:23.889   15             27477     27477    :   RecoveryTestThread.LoopForever
22:23.916   15             27501     27501    :   RecoveryTestThread.LoopForever
22:23.944   15             27228     27228    :   RecoveryTestThread.LoopForever
22:23.971   15             27211     27211    :   RecoveryTestThread.LoopForever
22:23.998   15             26941     26941    :   RecoveryTestThread.LoopForever
22:24.025   15             27241     27241    :   RecoveryTestThread.LoopForever
22:24.052   15             30542     30542    :   RecoveryTestThread.LoopForever
22:24.083   15             28767     28767    :   RecoveryTestThread.LoopForever
22:24.111   15             29109     29109    :   RecoveryTestThread.LoopForever
22:24.141   15             27313     27313    :   RecoveryTestThread.LoopForever
22:24.168   15             28416     28416    :   RecoveryTestThread.LoopForever
22:24.196   15             27217     27217    :   RecoveryTestThread.LoopForever
22:24.224   15             27180     27180    :   RecoveryTestThread.LoopForever
22:24.251   15             28210     28210    :   RecoveryTestThread.LoopForever
22:24.279   15             30242     30242    :   RecoveryTestThread.LoopForever
22:24.309   15             27950     27950    :   RecoveryTestThread.LoopForever
22:24.337   15             27363     27363    :   RecoveryTestThread.LoopForever
22:24.364   15             27234     27234    :   RecoveryTestThread.LoopForever
22:24.392   15             28523     28523    :   RecoveryTestThread.LoopForever
22:24.420   15             26989     26989    :   RecoveryTestThread.LoopForever
22:24.447   15             26879     26879    :   RecoveryTestThread.LoopForever
22:24.474   15             29717     29717    :   RecoveryTestThread.LoopForever
22:24.504   15             30215     30215    :   RecoveryTestThread.LoopForever
22:24.534   15             28141     28141    :   RecoveryTestThread.LoopForever
22:24.562   15             27404     27404    :   RecoveryTestThread.LoopForever
22:24.590   15             26879     26879    :   RecoveryTestThread.LoopForever
22:24.616   15             27151     27151    :   RecoveryTestThread.LoopForever
22:24.644   15             27260     27260    :   RecoveryTestThread.LoopForever
22:24.671   15             27461     27461    :   RecoveryTestThread.LoopForever
22:24.698   15             29845     29845    :   RecoveryTestThread.LoopForever
22:24.728   15             30167     30167    :   RecoveryTestThread.LoopForever
22:24.758   15             27587     27587    :   RecoveryTestThread.LoopForever
22:24.786   15             27216     27216    :   RecoveryTestThread.LoopForever
22:24.813   15             27058     27058    :   RecoveryTestThread.LoopForever
